team_a_name,team_a_score,team_b_name,team_b_score,winner
B),1783,pls STOP we BROKE,-1783,B)
PokerBrots,3094,Kappa Sigma C Team,-3094,PokerBrots
Team Name,285,Boners '22,-285,Team Name
21,27745,reference_lecture_1,-27745,21
Bananarchist,159,testing,-159,Bananarchist
preflop all in,-652,AAAKJ,652,AAAKJ
pls STOP we BROKE,610,reference_random,-610,pls STOP we BROKE
Heffalump Rangers,-445,Third Mid,445,Third Mid
SWEET BUT SALTY,11,Jigglybluff,-11,SWEET BUT SALTY
pkr face,-1510,preflop all in,1510,preflop all in
AlphaFish,770,Team Name,-770,AlphaFish
Daniel Negreanu,348,Team Name,-348,Daniel Negreanu
Queens Club,-550,Bananarchist,550,Bananarchist
Blind Plays,-351,¡WHAM!,351,¡WHAM!
Kappa Sigma C Team,-486,kaonashi,486,kaonashi
ChocolateWarriors,-721,kaonashi,721,kaonashi
testing,-126,AAAKJ,126,AAAKJ
andrew's bots,1479,Diamond Dogs,-1479,andrew's bots
Hurrikeynes,-1260,Army Leggy,1260,Army Leggy
Queens Club,1005,ChocolateWarriors,-1005,Queens Club
Queens Club,13242,reference_lecture_1,-13242,Queens Club
Blind Plays,-1,Third Mid,1,Third Mid
ChocolateWarriors,-728,Boners '22,728,Boners '22
testing,132,andrew's bots,-132,testing
¡WHAM!,-570,yeet,570,yeet
andrew's bots,837,Kappa Sigma C Team,-837,andrew's bots
kaonashi,197,Daniel Negreanu,-197,kaonashi
reference_lecture_2,4808,testing,-4808,reference_lecture_2
Heffalump Rangers,1302,AP,-1302,Heffalump Rangers
pkr face,3614,Icy,-3614,pkr face
AlphaOne,260,<^-^>,-260,AlphaOne
pkr face,4007,yeet,-4007,pkr face
yeet,-157,fleabitten,157,fleabitten
IeetChips,216,21,-216,IeetChips
B),-1101,andrew's bots,1101,andrew's bots
CC Star,-6522,Army Leggy,6522,Army Leggy
Hurrikeynes,-684,YEE,684,YEE
SWEET BUT SALTY,612,No One,-612,SWEET BUT SALTY
reference_lecture_2,-249,IeetChips,249,IeetChips
Diamond Dogs,-244,AlphaOne,244,AlphaOne
yeet,-552,maybenot,552,maybenot
Icy,-5420,21,5420,21
CC Star,3864,¡WHAM!,-3864,CC Star
CC Star,-190,BadBeatBot,190,BadBeatBot
andrew's bots,3912,Kappa Sigma C Team,-3912,andrew's bots
Queens Club,1079,Team Name,-1079,Queens Club
PotHotBot,435,pls STOP we BROKE,-435,PotHotBot
Power JEM ,-1738,Army Leggy,1738,Army Leggy
reference_lecture_1,-894,SWEET BUT SALTY,894,SWEET BUT SALTY
Flush Boys,-1428,21,1428,21
Power JEM ,-1590,<^-^>,1590,<^-^>
my bad,-745,PokerBrots,745,PokerBrots
ChocolateWarriors,-1415,Queens Club,1415,Queens Club
reference_random,-25362,21,25362,21
Diamond Dogs,93,CC Star,-93,Diamond Dogs
SWEET BUT SALTY,1277,Team Name,-1277,SWEET BUT SALTY
Jeff Lynne,220,<^-^>,-220,Jeff Lynne
Queens Club,31407,reference_random,-31407,Queens Club
reference_lecture_2,-2045,andrew's bots,2045,andrew's bots
GoKinCobra,-240,Heffalump Rangers,240,Heffalump Rangers
Heffalump Rangers,638,Army Leggy,-638,Heffalump Rangers
Queens Club,5291,yeet,-5291,Queens Club
reference_staff,-63,maybenot,63,maybenot
:),587,PotHotBot,-587,:)
ChocolateWarriors,-687,Jeff Lynne,687,Jeff Lynne
Boners '22,328,PokerBrots,-328,Boners '22
LadyMooseLizardPhi,-252,SWEET BUT SALTY,252,SWEET BUT SALTY
B),-34,AlphaOne,34,AlphaOne
GoKinCobra,1816,Flush Boys,-1816,GoKinCobra
testing,1964,ChocolateWarriors,-1964,testing
fleabitten,-333,AAAKJ,333,AAAKJ
<^-^>,-313,AAAKJ,313,AAAKJ
ChocolateWarriors,-263,YEE,263,YEE
yeet,-332,Blind Plays,332,Blind Plays
¡WHAM!,126,yeet,-126,¡WHAM!
reference_staff,1710,CC Star,-1710,reference_staff
Team Name,173,Bananarchist,-173,Team Name
CC Star,5890,:),-5890,CC Star
Power JEM ,-260,preflop all in,260,preflop all in
pkr face,1186,ChocolateWarriors,-1186,pkr face
BadBeatBot,-1337,reference_staff,1337,reference_staff
IeetChips,-58,SWEET BUT SALTY,58,SWEET BUT SALTY
PotHotBot,121,IeetChips,-121,PotHotBot
